类别,0.3,0.2,0.1,0.05,0.01,0.001,0,10.3,10.2,10.1,10.05,10.01,10.001,10
耕地,541,1053,2022,2899,4448,5393,5801,0.412314875,0.330590649,0.240618773,0.189873892,0.133171164,0.110647891,0.102893176
森林,4521,4837,5332,5691,5920,5961,5963,0.780834627,0.746150873,0.690371571,0.651541533,0.627569972,0.623293801,0.623084939
草地,8,48,261,866,3858,5781,5948,0.348421097,0.25275294,0.157068128,0.095628223,0.03973003,0.028275771,0.02749798
灌木,0,0,0,1,42,808,3506,0,0,0,0,0.016519819,0.00348008,0.000989184
湿地,0,0,0,5,104,940,2504,0,0,0,0.069122314,0.021035121,0.004938101,0.002037761
水体,212,389,758,1215,2294,3419,3947,0.469034735,0.365950597,0.258205806,0.188103557,0.111310332,0.076126969,0.065994228
建筑,964,1318,1911,2541,3884,5023,5630,0.524472533,0.449349943,0.354303628,0.284263686,0.194747748,0.151583405,0.13528138
荒地,109,499,1662,2894,4594,5685,5922,0.355790864,0.263580659,0.177855885,0.133455483,0.094006294,0.076910956,0.073850058
